Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg,Perplexity

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,13.645008350024,150.0915167997239,230742.6779661017,0.0006504714174365861,2.9624337637748193
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,23.709476837189868,1382.063392837131,296948.84,0.0046542138128477985,2.9624337637748193
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,43.65884474804625,1501.0933151851839,324885.3407821229,0.004620378720601797,2.9624337637748193
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,83.39121028711088,1571.772367240229,341025.587020649,0.004608957295468444,2.9624337637748193

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg,Perplexity
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,14.5964452160988,140.3081345957581,236876.80952380953,0.0005923253309507916,3.718509102406137
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,18.540828495984897,1767.3428135693107,266111.2278481013,0.006641368828594207,3.718509102406137
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,24.039760179119185,2726.150323950579,286311.29,0.00952163054398092,3.718509102406137
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,31.66051301988773,4139.920282329803,316424.9393939394,0.013083419689545166,3.718509102406137

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,13.955691424198449,146.7501636249189,231985.73333333334,0.0006325827089291651
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,18.71825701603666,1750.5903445991996,272243.8,0.006430230347207906
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,25.327034228947014,2587.5907699092922,291500.8380952381,0.008876786724928332
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,35.12098043691367,3732.0142652463555,335763.91095890413,0.011114995219671289

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,avg_power,latency
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,191651.75362318842,17.370273436885327
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,235959.52066115703,30.79601177200675
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,248472.63675213675,59.80315080890432
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,273178.2575342466,93.33682101708837

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,avg_power,latency
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,214001.0294117647,17.149860537145287
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,203756.59322033898,30.184714891016483
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,228280.33870967742,31.524693571962416
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,285868.85925925925,34.30760166910477

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,avg_power,latency
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,199438.97014925373,17.08324664295651
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,197007.4954954955,28.28823569905944
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,217520.75609756098,31.368742343969643
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,273523.27611940296,34.249900973867625

Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.941463305149227,257.8869814423346,,370959.0625,,,0.000695189867324874,
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,13.37304603215307,2450.301892419668,,493550.3703703704,,,0.004964644015120302,
