Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,KV Cache,Latency,Throughput
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,Without KV Cache,1.534201664966531,166.86202723263548
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,Without KV Cache,20.200667578028515,202.7655761463577
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,Without KV Cache,6.245371280936524,81.98071451137538
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,Without KV Cache,87.94468262209557,93.14946345535859
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,Without KV Cache,28.478256306960247,35.95725766923899
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,Without KV Cache,411.90270647092257,39.77638345805964
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,Without KV Cache,138.51010669698007,14.78592464361052
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,Without KV Cache,1993.478363265982,16.437600028081114
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,Without KV Cache,787.0780249059899,5.204058391147732
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,Without KV Cache,1.5268959980458021,167.66040406657794
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,Without KV Cache,18.30404346692376,223.77569237101403
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,Without KV Cache,5.733097248943523,89.3060029802128
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,Without KV Cache,75.84482270199805,108.01000922880647
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,Without KV Cache,23.97767679998651,42.70638930292763
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,Without KV Cache,339.18887845496647,48.303470546058236
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,Without KV Cache,105.17284073692281,19.47270783645395
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,Without KV Cache,1577.2726359020453,20.7751020680454
